title,langcode,status,title,promote,body,field_biozap_buttons,field_dni_do_potwierdzenia_skute,field_skrypt,field_urzadzenie
"Actinomycosis","en",true,"Actinomycosis",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ACTINOMYCOSIS 0m
# Actinomycosis
# use Streptothrix
off
@","multiZAP"
"Acupuncture d  1","en",true,"Acupuncture d  1",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ACUPUNCTURE D  1 3m
# Acupuncture_disturbance_field
# scar focus
freq 5900 180
off
@","multiZAP"
"Acute pain","en",true,"Acute pain",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ACUTE PAIN 30m
# Acute_pain
# 
freq 3000000 180
freq 95000 180
freq 10000000 180
freq 1550000 180
freq 802000 180
freq 880000 180
freq 787000 180
freq 727000 180
freq 690000 180
freq 666000 180
off
@","multiZAP"
"Adenoids","en",true,"Adenoids",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ADENOIDS 75m
# Adenoids
# 
freq 1550000 180
freq 802000 180
freq 880000 180
freq 787000 180
freq 776000 180
freq 727000 180
freq 444000 180
freq 20000 180
freq 428000 180
freq 660000 180
freq 2720000 180
freq 2170000 180
freq 14000 180
freq 333000 180
freq 523000 180
freq 768000 180
freq 786000 180
freq 1865000 180
freq 590000 180
freq 690000 180
freq 780000 180
freq 807000 180
freq 810000 180
freq 1570000 180
freq 2000000 180
off
@","multiZAP"
"Adenoma cervical","en",true,"Adenoma cervical",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ADENOMA CERVICAL 3m
# Adenoma_cervical
# epithelial tumor of the cervix that can be either benign or malignant. Also see Cancer.
freq 433000 180
off
@","multiZAP"
"Adenovirus 36","en",true,"Adenovirus 36",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ADENOVIRUS 36 12m
# Adenovirus_36
# AD-36 may be related to weight gain in some cases
freq 8875000 180
freq 6140000 180
freq 5859000 180
freq 5797000 180
off
@","multiZAP"
"Adenovirus comp","en",true,"Adenovirus comp",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ADENOVIRUS COMP 147m
# Adenovirus_comp
# 
freq 10000000 180
freq 7767000 180
freq 7762000 180
freq 7702000 180
freq 7009000 180
freq 7001000 180
freq 6989000 180
freq 5000000 180
freq 4868000 180
freq 2720000 180
freq 2050000 180
freq 1500000 180
freq 1395000 180
freq 1062000 180
freq 1060000 180
freq 1034000 180
freq 1009000 180
freq 969000 180
freq 968000 180
freq 962000 180
freq 959000 180
freq 960000 180
freq 952000 180
freq 951000 180
freq 942000 180
freq 880000 180
freq 1550000 180
freq 802000 180
freq 787000 180
freq 768000 180
freq 728000 180
freq 690000 180
freq 660000 180
freq 555000 180
freq 523000 180
freq 522000 180
freq 1865000 180
freq 444000 180
freq 333000 180
freq 300000 180
freq 180000 180
freq 160000 180
freq 125000 180
freq 95000 180
freq 72000 180
freq 60000 180
freq 48000 180
freq 26000 180
freq 20000 180
off
@","multiZAP"
"Adenovirus hc","en",true,"Adenovirus hc",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ADENOVIRUS HC 30m
# Adenovirus_HC
# 
freq 28729000 1
scan 28730000 179
freq 16628000 1
scan 16629000 179
freq 18471000 180
freq 18670000 1
scan 18671000 179
freq 19566000 1
scan 19567000 179
freq 1407000 1
scan 1408000 179
freq 827900 180
freq 919620 180
freq 929530 180
freq 974150 180
off
@","multiZAP"
"Adenovirus","en",true,"Adenovirus",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ADENOVIRUS 21m
# Adenovirus
# a virus that can cause colds/flu and infections in the lungs. stomach. and intestines
freq 333000 180
freq 523000 180
freq 666000 180
freq 786000 180
freq 768000 180
freq 959000 180
freq 962000 180
off
@","multiZAP"
"Adhesions","en",true,"Adhesions",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ADHESIONS 33m
# Adhesions
# 
freq 2720000 180
freq 2170000 180
freq 1550000 180
freq 802000 180
freq 880000 180
freq 787000 180
freq 776000 180
freq 760000 180
freq 727000 180
freq 660000 180
freq 190000 180
off
@","multiZAP"
"Adnexitis","en",true,"Adnexitis",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ADNEXITIS 21m
# Adnexitis
# swelling of the ovaries or Fallopian tubes
freq 440000 180
freq 441000 180
freq 522000 180
freq 572000 180
freq 3343000 180
freq 3833000 180
freq 5312000 180
off
@","multiZAP"
"Adrenal stimu  1","en",true,"Adrenal stimu  1",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ADRENAL STIMU  1 9m
# Adrenal_stimulant
# 
freq 10000 180
freq 20000 180
freq 2250000 180
off
@","multiZAP"
"Adynamia geri  1","en",true,"Adynamia geri  1",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ADYNAMIA GERI  1 15m
# Adynamia_geriatric
# fatigue of age
freq 410000 180
freq 220000 180
freq 100000 180
freq 60000 180
freq 27500 180
off
@","multiZAP"
"Aflatoxin hc","en",true,"Aflatoxin hc",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# AFLATOXIN HC 12m
# Aflatoxin_HC
# 
freq 438740 180
freq 466010 180
freq 9359000 1
scan 9360000 179
freq 8812000 1
scan 8813000 179
off
@","multiZAP"
"Aflatoxin","en",true,"Aflatoxin",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# AFLATOXIN 18m
# Aflatoxin
# a liver-damaging toxin produced by certain food molds
freq 344000 180
freq 510000 180
freq 943000 180
freq 474000 180
freq 476000 180
freq 568000 180
off
@","multiZAP"
"African trypa  1","en",true,"African trypa  1",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# AFRICAN TRYPA  1 9m
# African_trypanosomiasis
# 
freq 656000 180
freq 988000 180
freq 780000 180
off
@","multiZAP"
"Agyfla hc","en",true,"Agyfla hc",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# AGYFLA HC 6m
# Agyfla_HC
# 
freq 3534000 1
scan 3535000 179
freq 175990 180
off
@","multiZAP"
"Aids 1","en",true,"Aids 1",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# AIDS 1 33m
# AIDS_1
# not for use in U.S. see HIV
freq 2489000 180
freq 465000 180
freq 727000 180
freq 787000 180
freq 880000 180
freq 1550000 180
freq 1500000 180
freq 1200 180
freq 31000000 180
freq 31750000 180
freq 34750000 180
off
@","multiZAP"
"Aids 2","en",true,"Aids 2",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# AIDS 2 36m
# AIDS_2
# 
freq 1440 180
freq 1550000 180
freq 1500000 180
freq 249000 180
freq 418000 180
freq 727000 180
freq 787000 180
freq 880000 180
freq 2489000 180
freq 3100000 180
freq 3175000 180
freq 3475000 180
off
@","multiZAP"
"Aids kaposis   1","en",true,"Aids kaposis   1",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# AIDS KAPOSIS   1 0m
# AIDS_Kaposis_sarcoma
# use Cancer_Kaposis_sarcoma
off
@","multiZAP"
"Aids secondary","en",true,"Aids secondary",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# AIDS SECONDARY 9m
# AIDS_secondary
# use 1113 for 12 min. 2128 for 16 min. 6121 for 21 min. 33 for 1 min
freq 1113000 180
freq 2128000 180
freq 6121000 180
off
@","multiZAP"
"Akathisia","en",true,"Akathisia",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# AKATHISIA 9m
# Akathisia
# 
freq 230000 180
freq 7830 180
freq 3000 180
off
@","multiZAP"
"Alcoholism","en",true,"Alcoholism",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ALCOHOLISM 3m
# Alcoholism
# 
freq 10000000 180
off
@","multiZAP"
"Allergy 1","en",true,"Allergy 1",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ALLERGY 1 60m
# Allergy_1
# 
freq 10000000 180
freq 1865000 180
freq 880000 180
freq 787000 180
freq 727000 180
freq 690000 180
freq 660000 180
freq 555000 180
freq 522000 180
freq 473000 180
freq 444000 180
freq 330000 180
freq 290000 180
freq 146000 180
freq 125000 180
freq 95000 180
freq 72000 180
freq 33000 180
freq 20000 180
freq 3000 180
off
@","multiZAP"
"Allergy polle  1","en",true,"Allergy polle  1",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ALLERGY POLLE  1 9m
# Allergy_pollen_TR
# pulse 64 75. converge 2 0.03125. dwell 500
freq 116113000 180
freq 119061000 1
scan 119062000 179
freq 119441000 1
scan 119442000 179
off
@","multiZAP"
"Allergy","en",true,"Allergy",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ALLERGY 45m
# Allergy
# also see Pertussis
freq 10000000 180
freq 7344000 180
freq 5000000 180
freq 1550000 180
freq 1234000 180
freq 740000 180
freq 880000 180
freq 835000 180
freq 787000 180
freq 727000 180
freq 500000 180
freq 330000 180
freq 160000 180
freq 30000 180
freq 3000 180
off
@","multiZAP"
"Alopecia","en",true,"Alopecia",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ALOPECIA 51m
# Alopecia
# loss of hair
freq 10000000 180
freq 30000000 180
freq 5000000 180
freq 2720000 180
freq 2170000 180
freq 1552000 180
freq 880000 180
freq 800000 180
freq 787000 180
freq 727000 180
freq 465000 180
freq 330000 180
freq 146000 180
freq 95000 180
freq 28000 180
freq 20000 180
freq 3000 180
off
@","multiZAP"
"Alpha strepto  1","en",true,"Alpha strepto  1",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ALPHA STREPTO  1 12m
# Alpha_streptococcus_HC
# 
freq 18919000 1
scan 18920000 179
freq 18670000 1
scan 18671000 179
freq 941930 180
freq 929530 180
off
@","multiZAP"
"Als 1","en",true,"Als 1",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ALS 1 30m
# ALS_1
# Amyotropic lateral sclerosis. possibly caused by mycoplasma fermentans. Also use MS and see Echo virus. Coxsackie. Herpes 6. Bartonella. and Lyme freqs. Use 2900 for 30 min
freq 2900000 180
freq 864000 180
freq 790000 180
freq 690000 180
freq 610000 180
freq 470000 180
freq 484000 180
freq 986000 180
freq 644000 180
freq 254000 180
off
@","multiZAP"
"Als 2","en",true,"Als 2",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ALS 2 129m
# ALS_2
# Potential causative viruses
freq 5000000 180
freq 3636000 180
freq 2632000 180
freq 1850000 180
freq 1500000 180
freq 1488000 180
freq 1422000 180
freq 1189000 180
freq 1044000 180
freq 922000 180
freq 868000 180
freq 845000 180
freq 822000 180
freq 788000 180
freq 776000 180
freq 766000 180
freq 742000 180
freq 733000 180
freq 721000 180
freq 676000 180
freq 654000 180
freq 625000 180
freq 620000 180
freq 607000 180
freq 608000 180
freq 609000 180
freq 610000 180
freq 611000 180
freq 612000 180
freq 613000 180
freq 595000 180
freq 515000 180
freq 487000 180
freq 461000 180
freq 435000 180
freq 423000 180
freq 380000 180
freq 322000 180
freq 283000 180
freq 232000 180
freq 144000 180
freq 136000 180
freq 20000 180
off
@","multiZAP"
"Als 3","en",true,"Als 3",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ALS 3 3m
# ALS_3
# use 2900 for 60 min
freq 2900000 180
off
@","multiZAP"
"Als 4","en",true,"Als 4",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ALS 4 93m
# ALS_4
# also use for MS
freq 10000000 180
freq 5000000 180
freq 2900000 180
freq 2750000 180
freq 2700000 180
freq 2145000 180
freq 938000 180
freq 862000 180
freq 841000 180
freq 777000 180
freq 766000 180
freq 741000 180
freq 739000 180
freq 688000 180
freq 682000 180
freq 660000 180
freq 572000 180
freq 532000 180
freq 520000 180
freq 477000 180
freq 442000 180
freq 433000 180
freq 344000 180
freq 343000 180
freq 342000 180
freq 338000 180
freq 324000 180
freq 322000 180
freq 253000 180
freq 242000 180
freq 112000 180
off
@","multiZAP"
"Als 5","en",true,"Als 5",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ALS 5 39m
# ALS_5
# use 2900 for 20 min
freq 2900000 180
freq 986000 180
freq 864000 180
freq 790000 180
freq 728000 180
freq 690000 180
freq 660000 180
freq 644000 180
freq 980000 180
freq 692000 180
freq 610000 180
freq 484000 180
freq 254000 180
off
@","multiZAP"
"Alternaria te  1","en",true,"Alternaria te  1",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ALTERNARIA TE  1 6m
# Alternaria_tenuis
# a fungus associated with lung ailments
freq 853000 180
freq 304000 180
off
@","multiZAP"
"Alzheimers 1","en",true,"Alzheimers 1",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ALZHEIMERS 1 51m
# Alzheimers_1
# also see ALS sets
freq 430000 180
freq 620000 180
freq 624000 180
freq 840000 180
freq 866000 180
freq 5148000 180
freq 2213000 180
freq 19180000 1
scan 19181000 179
freq 742400 180
freq 303000 180
freq 23200 180
freq 3773000 1
scan 3774000 179
freq 943300 180
freq 471660 180
freq 470900 180
freq 941800 180
freq 3767000 1
scan 3768000 179
off
@","multiZAP"
"Alzheimers 2","en",true,"Alzheimers 2",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ALZHEIMERS 2 24m
# Alzheimers_2
# 
freq 19180000 1
scan 19181000 179
freq 2213000 180
freq 5148000 180
freq 866000 180
freq 840000 180
freq 624000 180
freq 620000 180
freq 430000 180
off
@","multiZAP"
"Alzheimers tr","en",true,"Alzheimers tr",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ALZHEIMERS TR 69m
# Alzheimers_TR
# 
freq 430000 180
freq 620000 180
freq 624000 180
freq 866000 180
freq 5148000 180
freq 2213000 180
freq 1918000 180
freq 742400 180
freq 303000 180
freq 23200 180
freq 2900000 180
freq 864000 180
freq 790000 180
freq 690000 180
freq 610000 180
freq 470000 180
freq 484000 180
freq 986000 180
freq 644000 180
freq 254000 180
freq 30000 180
freq 33000 180
freq 6000 180
off
@","multiZAP"
"Amenorrhea","en",true,"Amenorrhea",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# AMENORRHEA 27m
# Amenorrhea
# absence of menstruation
freq 10000000 180
freq 880000 180
freq 1550000 180
freq 802000 180
freq 787000 180
freq 760000 180
freq 727000 180
freq 465000 180
freq 20000 180
off
@","multiZAP"
"Amoeba hepar   1","en",true,"Amoeba hepar   1",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# AMOEBA HEPAR   1 12m
# Amoeba_hepar_abcess
# liver abcess caused by amoebic infection
freq 344000 180
freq 605000 180
freq 510000 180
freq 943000 180
off
@","multiZAP"
"Amoeba","en",true,"Amoeba",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# AMOEBA 21m
# Amoeba
# a single celled. sometimes infectious microorganism
freq 310000 180
freq 333000 180
freq 532000 180
freq 732000 180
freq 769000 180
freq 827000 180
freq 1522000 180
off
@","multiZAP"
"Amoebic dysen  1","en",true,"Amoebic dysen  1",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# AMOEBIC DYSEN  1 0m
# Amoebic_dysentery
# use Entamoeba histolytica
off
@","multiZAP"
"Amyotropic la  1","en",true,"Amyotropic la  1",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# AMYOTROPIC LA  1 0m
# Amyotropic_lateral_sclerosis
# use ALS
off
@","multiZAP"
"Anal itching","en",true,"Anal itching",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ANAL ITCHING 54m
# Anal_itching
# also use Parasites enterobiasis and see Parasites general set
freq 10000000 180
freq 880000 180
freq 787000 180
freq 760000 180
freq 727000 180
freq 465000 180
freq 125000 180
freq 120000 180
freq 95000 180
freq 72000 180
freq 444000 180
freq 1865000 180
freq 20000 180
freq 773000 180
freq 826000 180
freq 827000 180
freq 835000 180
freq 4152000 180
off
@","multiZAP"
"Anaphylaxis","en",true,"Anaphylaxis",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ANAPHYLAXIS 3m
# Anaphylaxis
# 
freq 10000000 180
off
@","multiZAP"
"Anaplasma mar  1","en",true,"Anaplasma mar  1",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ANAPLASMA MAR  1 12m
# Anaplasma_marginale_HC
# 
freq 19267000 1
scan 19268000 179
freq 959280 180
freq 21010000 1
scan 21011000 179
freq 1046000 1
scan 1047000 179
off
@","multiZAP"
"Aneurysm","en",true,"Aneurysm",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ANEURYSM 33m
# Aneurysm
# 
freq 880000 180
freq 787000 180
freq 760000 180
freq 727000 180
freq 465000 180
freq 125000 180
freq 95000 180
freq 72000 180
freq 444000 180
freq 1865000 180
freq 20000 180
off
@","multiZAP"
"Angina pectoris","en",true,"Angina pectoris",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ANGINA PECTORIS 63m
# Angina_pectoris
# 
freq 3000 180
freq 230000 180
freq 2720000 180
freq 2170000 180
freq 1800000 180
freq 1600000 180
freq 1500000 180
freq 880000 180
freq 832000 180
freq 787000 180
freq 776000 180
freq 727000 180
freq 465000 180
freq 444000 180
freq 1865000 180
freq 125000 180
freq 95000 180
freq 72000 180
freq 20000 180
freq 660000 180
freq 7830 180
off
@","multiZAP"
"Angina quinsy","en",true,"Angina quinsy",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ANGINA QUINSY 21m
# Angina_quinsy
# inflammation of lymph gland in throat
freq 787000 180
freq 776000 180
freq 727000 180
freq 690000 180
freq 465000 180
freq 428000 180
freq 660000 180
off
@","multiZAP"
"Ankylosing sp  1","en",true,"Ankylosing sp  1",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ANKYLOSING SP  1 63m
# Ankylosing_spondylitis
# arthritis of the spine. Use 326 longer periods after buildup
freq 3000000 180
freq 95000 180
freq 1550000 180
freq 802000 180
freq 880000 180
freq 787000 180
freq 776000 180
freq 727000 180
freq 650000 180
freq 625000 180
freq 600000 180
freq 28000 180
freq 10000 180
freq 35000 180
freq 7690 180
freq 1200 180
freq 110000 180
freq 100000 180
freq 60000 180
freq 428000 180
freq 680000 180
off
@","multiZAP"
"Anosmia","en",true,"Anosmia",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ANOSMIA 6m
# Anosmia
# loss of smell
freq 20000 180
freq 10000000 180
off
@","multiZAP"
